iteration,latency_ns
0,5829503
1,2347043
2,2037970
3,982421
4,925172
5,908212
6,1870926
7,1024991
8,1659156
9,1644790
10,901871
11,898145
12,890115
13,890537
14,1601270
15,889368
16,1007188
17,1672044
18,1416609
19,888253
20,882392
21,878930
22,876324
23,1444441
24,883498
25,1042483
26,947605
27,1651031
28,907216
29,872548
30,879487
31,1554641
32,998799
33,1425395
34,1640387
35,887282
36,883556
37,912796
38,1462904
39,1585537
40,1631357
41,883985
42,964086
43,877666
44,1392751
45,891789
46,874572
47,1366832
48,1048221
49,16277095
50,1087594
51,953982
52,1910988
53,1026449
54,1470344
55,1076202
56,1029724
57,903238
58,1550067
59,929294
60,1421521
61,958985
62,1391441
63,898843
64,892131
65,1000030
66,924919
67,5768818
68,1234534
69,2131019
70,1061266
71,1539721
72,916522
73,893188
74,884490
75,893428
76,1534764
77,908827
78,967043
79,1677252
80,879747
81,896414
82,886150
83,890570
84,1434131
85,877286
86,1647037
87,1555735
88,4411168
89,991421
90,1700626
91,892197
92,881507
93,2042662
94,1729784
95,889339
96,886323
97,1492182
98,885077
99,881516
100,1468655
101,2743614
102,924164
103,899582
104,892775
105,1584339
106,879702
107,1494412
108,1309041
109,1588635
110,884386
111,864559
112,1275720
113,3699282
114,1058229
115,1021810
116,881362
117,1635732
118,889463
119,871442
120,1493607
121,1467432
122,966741
123,877951
124,13861567
125,1468679
126,1892706
127,1943582
128,944680
129,894816
130,975932
131,1634612
132,901677
133,894622
134,2056012
135,874225
136,872345
137,871363
138,1679862
139,928410
140,1949436
141,1685558
142,899145
143,880004
144,865381
145,867195
146,1318884
147,1000650
148,873672
149,1585698
150,1557408
151,903065
152,886683
153,895754
154,1642977
155,908162
156,2385470
157,1038865
158,898071
159,877331
160,878587
161,1500237
162,900252
163,891140
164,1667396
165,1614583
166,892322
167,880000
168,884981
169,883713
170,1632382
171,1493495
172,1195728
173,968162
174,956869
175,953003
176,1478118
177,946461
178,1549478
179,1016775
180,1633406
181,1056833
182,938934
183,938704
184,1540444
185,945039
186,1624888
187,1523867
188,1379633
189,1045201
190,933090
191,1427642
192,943461
193,1479444
194,1363106
195,1021657
196,953193
197,945750
198,1608321
199,1675732
200,1024367
201,927856
202,1525239
203,1030207
204,1698243
205,1932591
206,1068184
207,949636
208,1546334
209,1032756
210,17237422
211,2928903
212,1105880
213,1013806
214,1663249
215,977307
216,1908344
217,987093
218,1800086
219,960409
220,959963
221,1558858
222,1638590
223,1063442
224,1575024
225,6683646
226,1242337
227,1128717
228,1774940
229,1062253
230,1718496
231,1001005
232,1059538
233,1065986
234,1713253
235,1973426
236,1230692
237,1911567
238,1069758
239,1054908
240,1805997
241,1035697
242,1896750
243,1807257
244,1131889
245,1820913
246,1480166
247,1170147
248,2337051
249,1229937
250,1260470
251,1171200
252,1164492
253,1357939
254,3902572
255,3063667
256,1285381
257,1188363
258,1174369
259,2388105
260,2576281
261,1519977
262,1296377
263,1055048
264,1922363
265,1075074
266,2016065
267,1018816
268,1241808
269,2161618
270,1371445
271,2022273
272,1387018
273,1743225
274,17549126
275,1372854
276,1701287
277,2333148
278,1071864
279,980984
280,965006
281,1605458
282,1099362
283,1888534
284,1717046
285,977307
286,976601
287,964453
288,1542649
289,957415
290,1740801
291,1686587
292,960831
293,965404
294,963991
295,1496528
296,1734154
297,970665
298,1610911
299,1008304
300,951785
301,955176
302,1502417
303,1764659
304,958604
305,1664975
306,1374800
307,950248
308,948497
309,1694484
310,960954
311,923912
312,1655773
313,1557321
314,1083459
315,955998
316,2076591
317,1822537
318,2132159
319,889513
320,871793
321,1595429
322,1668140
323,889235
324,879260
325,1432912
326,1431806
327,939637
328,871391
329,1570175
330,877757
331,877405
332,865080
333,1422702
334,1294250
335,923718
336,883052
337,1529266
338,886340
339,962070
340,878063
341,1373986
342,1536990
343,948674
344,1864845
345,897918
346,869813
347,870784
348,1726934
349,889917
350,1588205
351,1492871
352,953615
353,871123
354,864085
355,1575446
356,1646784
357,15966977
358,1062212
359,2056007
360,1015837
361,902334
362,1614695
363,894218
364,1398993
365,965255
366,1697673
367,890764
368,973309
369,1579440
370,885803
371,886175
372,2170648
373,1036928
374,898831
375,882900
376,1752053
377,1402698
378,945172
379,879211
380,1578287
381,880748
382,871702
383,875266
384,1375676
385,1516838
386,943528
387,869719
388,1779074
