iteration,latency_ns
0,1450822
1,1677633
2,853515
3,1346839
4,843021
5,846000
6,848554
7,1296001
8,845440
9,839482
10,2042683
11,934223
12,850162
13,838720
14,835749
15,841959
16,867424
17,1310265
18,1454424
19,1129055
20,1471023
21,793889
22,795553
23,779139
24,1352105
25,824349
26,1291856
27,782287
28,1334941
29,1038615
30,795253
31,787380
32,1335039
33,1198190
34,849515
35,786329
36,784021
37,1350131
38,791034
39,997479
40,776543
41,1252736
42,720898
43,741449
44,1032434
45,777182
46,1131349
47,789505
48,740509
49,732735
50,1368890
51,731210
52,728442
53,729813
54,1189167
55,750059
56,730444
57,1271957
58,1345051
59,730497
60,733109
61,732425
62,1392709
63,735610
64,731939
65,720927
66,729851
67,4890913
68,986492
69,1950458
70,780078
71,708471
72,700956
73,1304320
74,711586
75,1264306
76,771991
77,1090701
78,700882
79,907352
80,10531590
81,1934884
82,879435
83,1501899
84,771744
85,761196
86,755584
87,749207
88,749272
89,827163
90,740905
91,1114083
92,1368800
93,737831
94,744745
95,743756
96,742157
97,746335
98,1080784
99,741012
100,746579
101,1549519
102,836417
103,1212359
104,740237
105,730600
106,741020
107,738276
108,1232972
109,747781
110,736867
111,1410227
112,726505
113,731119
114,727865
115,731828
116,732451
117,1197127
118,737378
119,743129
120,1264754
121,818354
122,1148506
123,803678
124,867264
125,725797
126,4087009
127,904934
128,761979
129,1488913
130,1495286
131,750789
132,735607
133,734646
134,725904
135,724877
136,1270354
137,746611
138,741972
139,1219235
140,736159
141,733954
142,880045
143,694282
144,694347
145,1031928
146,688270
147,678659
148,682247
149,1585599
150,758218
151,694113
152,693742
153,682704
154,742776
155,690829
156,1139095
157,682070
158,682086
159,1164249
160,744827
161,1070307
162,695827
163,691158
164,693358
165,688238
166,688481
167,1342360
168,694870
169,763013
170,1963053
171,1266637
172,762396
173,683759
174,1178372
175,686556
176,1163375
177,1162725
178,686185
179,1117799
180,1022909
181,700532
182,683735
183,686680
184,1207732
185,688856
186,688929
187,1103428
188,920524
189,1231456
190,11721062
191,1504111
192,778624
193,730094
194,1261895
195,730576
196,1411607
197,904122
198,704298
199,687789
200,690648
201,663162
202,1107754
203,686960
204,654127
205,649488
206,1504981
207,740616
208,665256
209,661094
210,813237
211,653616
212,1175769
213,695089
214,683886
215,1153961
216,826335
217,1212409
218,716683
219,691018
220,689201
221,682539
222,862815
223,1233013
224,689185
225,1345191
226,761963
227,692638
228,680945
229,685992
230,680529
231,674093
232,1195228
233,710181
234,744366
235,1774208
236,778332
237,699007
238,684220
239,692119
240,1116719
241,696408
242,689251
243,785995
244,1121932
245,968915
246,1160343
247,768748
248,692011
249,677076
250,1121548
251,691777
252,1194766
253,679766
254,1014220
255,741638
256,1131853
257,747699
258,696243
259,688724
260,1057666
261,1147888
262,693920
263,697076
264,689642
265,692864
266,3550786
267,992466
268,1438512
269,1258908
270,726139
271,708965
272,696589
273,692012
274,1229082
275,704904
276,1532512
277,776411
278,692984
279,1151517
280,682754
281,692320
282,689173
283,682189
284,1190934
285,691158
286,1203621
287,693293
288,854602
289,1172213
290,749355
291,676973
292,686689
293,685424
294,1007244
295,744259
296,1113201
297,753290
298,694813
299,1188426
300,770557
301,688629
302,9551312
303,1498739
304,846796
305,1382935
306,720255
307,1191310
308,701270
309,687434
310,1138569
311,760421
312,1322152
313,700420
314,1163376
315,1038820
316,1211222
317,692465
318,685332
319,689593
320,1009947
321,699242
322,1115302
323,1285285
324,692498
325,675762
326,1077270
327,750299
328,694307
329,686025
330,689012
331,688287
332,1170985
333,1062429
334,764863
335,738853
336,1173779
337,685963
338,694941
339,694212
340,691538
341,1162749
342,693667
343,1320471
344,693231
345,681373
346,1314863
347,771534
348,691002
349,687006
350,686120
351,1257066
352,684846
353,1247393
354,695056
355,687323
356,1138218
357,694496
358,871408
359,681477
360,683285
361,1099798
362,694055
363,1031874
364,1167496
365,685316
366,688991
367,5171892
368,741799
369,682996
370,674909
371,674245
372,1198037
373,1317722
374,709555
375,671114
376,656262
377,657959
378,1310426
379,664428
380,650081
