iteration,latency_ns
0,6203608
1,1914470
2,1965784
3,1013425
4,1116830
5,970686
6,1481459
7,982281
8,1396634
9,1546011
10,945423
11,947340
12,1098457
13,1039799
14,1741825
15,1638152
16,1871099
17,1047048
18,1036998
19,975804
20,1016804
21,5581534
22,1069097
23,2372649
24,1534748
25,953900
26,1623806
27,930120
28,1650990
29,947774
30,1043599
31,960880
32,1581303
33,1576896
34,1000760
35,937679
36,1525916
37,1548428
38,934048
39,935407
40,1672510
41,930372
42,1530258
43,1487163
44,1017977
45,943586
46,1546008
47,1498270
48,1007444
49,880710
50,1490695
51,946993
52,943275
53,1575714
54,864886
55,889103
56,890512
57,1501092
58,1414077
59,925295
60,1469493
61,1470158
62,884350
63,883362
64,879339
65,880429
66,13637381
67,2015409
68,910561
69,900462
70,888463
71,1639144
72,1030191
73,1484755
74,1001339
75,1533475
76,868863
77,885857
78,876307
79,871272
80,871363
81,1672746
82,8769861
83,1192485
84,1078436
85,898013
86,1666715
87,1595414
88,1021893
89,1572257
90,881524
91,887794
92,971000
93,1594525
94,1632667
95,858083
96,1411752
97,1187826
98,1783916
99,882842
100,1569469
101,1958998
102,964606
103,1542157
104,1931385
105,1103798
106,980624
107,1867324
108,987812
109,1028737
110,1018134
111,1687872
112,1632617
113,1810066
114,1044883
115,954011
116,1680879
117,937889
118,939988
119,1970530
120,967328
121,1761251
122,1160828
123,1708215
124,1018514
125,2275799
126,1104487
127,1026759
128,1025532
129,1761660
130,1015970
131,1653423
132,1923285
133,1046024
134,1037317
135,1026057
136,1022876
137,2736567
138,2214584
139,1067217
140,1025350
141,15298859
142,1703960
143,1751151
144,968097
145,971418
146,965226
147,951062
148,1521228
149,1063322
150,1562592
151,1036854
152,943904
153,938336
154,926968
155,1522719
156,945308
157,1441170
158,1036676
159,1515639
160,896613
161,882944
162,1397328
163,882354
164,1489955
165,847654
166,1407274
167,1398472
168,1093757
169,891953
170,1394812
171,1490393
172,937638
173,866447
174,1601679
175,1116392
176,1439265
177,1322147
178,856757
179,865630
180,864043
181,1248371
182,910512
183,1451136
184,1396477
185,812993
186,816183
187,801734
188,815963
189,813775
190,1276493
191,1360818
192,1452979
193,812523
194,887703
195,809470
196,1329921
197,833246
198,815774
199,1543706
200,1474433
201,830698
202,821024
203,842561
204,950752
205,1118358
206,2797679
207,1466069
208,981376
209,888145
210,861354
211,1356126
212,987271
213,1426394
214,1262556
215,973776
216,951397
217,1675054
218,1413664
219,2300628
220,923276
221,900144
222,2044170
223,976234
224,872816
225,1649388
226,2281445
227,1773783
228,881693
229,18941237
230,2161395
231,1049464
232,979868
233,1641560
234,1963677
235,1075913
236,1150093
237,1843264
238,1662989
239,1080819
240,1662667
241,1110122
242,1016155
243,955486
244,1575421
245,957183
246,2602316
247,1048741
248,948154
249,942545
250,1630911
251,1020125
252,1647768
253,1020121
254,1684402
255,957505
256,1612278
257,953317
258,1508234
259,958587
260,870433
261,1610683
262,883994
263,863948
264,864494
265,1560593
266,861449
267,1401917
268,998175
269,1929848
270,872280
271,872164
272,1535685
273,1381289
274,933610
275,1326460
276,1029915
277,878455
278,879293
279,1466816
280,951714
281,1435981
282,864216
283,1437241
284,929174
285,1509138
286,1294985
287,922681
288,878699
289,864258
290,1696426
291,925271
292,871577
293,1508551
294,1560894
295,832098
296,820152
297,821895
298,1365010
299,833213
300,1254646
301,888942
302,1263415
303,810251
304,879686
305,818591
306,816137
307,1323333
308,820643
309,1239065
310,1749904
311,1081935
312,1196182
313,965250
314,1384403
315,1379484
316,12802540
317,2102340
318,939083
319,885461
320,973962
321,1380409
322,884246
323,1484657
324,1419521
325,931851
326,870388
327,864659
328,1513079
329,1536160
330,959389
331,874411
332,1390166
333,944593
334,896072
335,875427
336,1524392
337,1442103
338,1222283
339,874060
340,884052
341,1783387
342,897431
343,1663543
344,923519
345,929802
346,960768
347,1196326
348,1685113
349,1786258
350,1045680
351,4056013
352,4928281
353,4284908
354,3254594
355,1972571
356,3379836
357,4643888
358,1159015
359,1080592
360,1058308
361,1787195
362,11013665
363,2307097
364,1447493
365,1061865
366,2180932
367,1021046
368,1012644
369,1125219
370,1015020
371,1633220
372,1027960
373,13714982
374,1922789
375,1845510
376,989104
377,1676083
378,1066495
379,968699
380,947237
381,1746162
382,1499382
383,4737763
384,1625715
385,1081844
386,1887411
387,1827402
388,978902
389,3117827
390,9380568
391,1909129
392,1707657
393,1064802
394,958261
395,958245
396,1771507
397,1610750
398,1424507
399,859677
400,874729
401,874753
402,869826
403,872466
404,1670969
405,1559101
406,1478514
407,894907
408,888302
409,883337
410,1569796
411,901648
412,1562232
413,1088250
414,1057750
415,1058027
416,943503
417,1296571
418,2510568
419,2112828
420,921045
421,985296
422,930199
423,1825300
424,977943
425,1802548
426,1011508
427,1035693
428,933908
429,1779302
430,964622
431,1733845
432,988031
433,883515
434,1759153
435,961925
436,2188558
437,1049782
438,1885312
439,910974
440,17999899
441,1221346
442,1999250
443,962400
444,1780507
445,1728442
446,1129156
447,1866870
448,1825717
449,995247
450,1596739
451,1114236
452,938567
453,1582476
454,945246
455,1572967
456,912772
457,1473595
458,1011088
459,933193
460,927394
461,1550964
462,1066115
463,1740900
464,1496821
465,1008357
466,935626
467,928084
468,1652534
469,944494
470,1640849
471,1031331
472,1474896
473,952132
474,954804
475,1485334
476,946567
477,1015870
478,994524
479,1503566
480,885002
481,883263
482,6108354
483,1120183
484,1796274
485,1707182
486,901664
487,937287
488,1952467
489,1555578
490,1033880
491,1528560
492,939232
493,1522587
494,870661
495,864126
496,954383
497,866323
498,863907
499,1504801
500,896518
501,866836
502,1496813
503,1366212
504,914011
505,859495
506,874444
507,1481087
508,934796
509,879971
510,1617677
511,855056
512,884907
513,881491
514,875651
515,1426395
516,1356009
517,12784515
518,2594233
519,1526647
520,915304
521,1432995
522,1109684
523,1149787
524,2220157
525,813774
526,1351396
527,873638
528,1511529
529,1006036
530,1295831
531,1614084
532,873680
533,881888
534,1834420
535,861396
536,1905660
537,991075
538,1404639
539,900562
540,10977655
541,1199061
542,1897494
543,1618957
544,986295
545,892734
546,879058
547,1667487
548,6342308
549,3855776
550,3382340
551,1694150
552,2815474
553,3331769
554,5926765
555,1786191
556,3942473
557,2476495
558,2978061
559,3197831
560,1587602
561,1452133
562,1449418
563,3739707
564,1726529
565,23618682
566,2454739
567,2203775
568,1626029
569,3941279
570,1446403
571,1022364
572,990496
573,958005
574,1045094
575,948295
576,1017329
577,2919792
578,1057486
579,7582914
580,2124770
581,1177900
582,1692489
583,963995
584,949687
585,932202
586,1070254
587,961644
588,1850835
589,1027498
590,948546
591,1868100
592,974193
593,1906279
594,1919930
595,1726711
596,1064809
597,911408
598,921144
599,1278843
600,2644122
601,2192209
602,2216641
603,1333288
604,1641618
605,1412065
606,1847315
607,2484397
608,1053355
609,1904424
610,1174294
611,1001397
612,2058916
613,1891136
614,2412257
615,987324
616,982930
617,966411
618,2002323
619,1092943
620,4872337
621,1810673
622,936089
623,954610
624,1045755
625,1442499
626,938679
627,16074941
628,2244279
629,1081984
630,957659
631,1554364
632,964565
633,2260859
634,957109
635,935610
636,1061893
637,1719723
638,1591051
639,910107
640,1471029
641,990530
642,936019
643,933304
644,1649581
645,1063418
646,1413767
647,1514045
648,1029729
649,935485
650,1618313
651,951760
652,1655992
653,999352
654,943119
655,1604067
656,1581576
657,2453319
658,1237640
659,868512
660,870359
661,1433359
662,1390038
663,981319
664,1536995
665,862730
666,938022
667,871536
668,1471236
669,868768
670,1368059
671,1520769
672,865064
673,853200
674,859091
675,912945
676,872193
677,1385857
678,3200558
679,1580337
680,981946
681,871491
682,863110
683,2550573
684,1499212
685,918451
686,859970
687,1471608
688,868855
689,866732
690,867579
