iteration,latency_ns
0,1797190
1,1714636
2,1765284
3,939053
4,930042
5,920611
6,1613314
7,944594
8,1598961
9,1510275
10,976892
11,923758
12,911172
13,1656951
14,1746665
15,1690863
16,1020194
17,999387
18,1006317
19,1004995
20,1693788
21,1594070
22,1918280
23,989837
24,1004199
25,1632172
26,1017866
27,971923
28,1010491
29,1690534
30,970056
31,929823
32,1539400
33,942645
34,1607073
35,1019806
36,922782
37,1580057
38,920232
39,1026403
40,1501829
41,1723461
42,1018199
43,1486107
44,1553071
45,7908720
46,1085888
47,1954792
48,1889493
49,1016453
50,14155026
51,1087652
52,1880124
53,1228712
54,949542
55,1595499
56,1597798
57,912763
58,1406560
59,1010449
60,1682537
61,1003915
62,1719477
63,996256
64,928340
65,925666
66,1000199
67,1677638
68,923821
69,1579995
70,968964
71,924653
72,929338
73,1430979
74,1561830
75,932810
76,1458897
77,8794269
78,1290435
79,985885
80,1870755
81,1622688
82,1758701
83,955953
84,926577
85,920734
86,1608086
87,1025080
88,1533298
89,1024742
90,920920
91,915329
92,905169
93,1555625
94,915444
95,1411195
96,2427932
97,934602
98,922342
99,928484
100,1632881
101,930528
102,1723284
103,1700430
104,910995
105,3167217
106,2589955
107,1008735
108,1710669
109,1743448
110,912491
111,928641
112,1484801
113,968354
114,929897
115,1568319
116,1514589
117,1048095
118,921740
119,919506
120,1479802
121,1295429
122,13069711
123,1942816
124,1156120
125,970402
126,941714
127,1731417
128,934125
129,1617946
130,1576357
131,1029716
132,1049322
133,1639712
134,1487491
135,923664
136,1643511
137,1021306
138,914558
139,921620
140,1666102
141,1450958
142,1039121
143,1618729
144,903924
145,925160
146,910776
147,1550145
148,1014702
149,919037
150,2148977
151,920656
152,923129
153,996977
154,1614151
155,3292831
156,1977288
157,1141390
158,1009053
159,997611
160,930812
161,1707850
162,1618605
163,894061
164,1494343
165,989956
166,935196
167,928349
168,1514696
169,924636
170,2097426
171,1110939
172,1518194
173,921938
174,922465
175,1425908
176,933206
177,1532276
178,1375771
179,1079008
180,1440596
181,918526
182,917756
183,907068
184,1646362
185,1482234
186,1510979
187,1072465
188,918876
189,919078
190,1438136
191,929765
192,1539008
193,898449
194,1604572
195,996540
196,1045784
197,921097
198,1626479
199,1499620
200,919338
201,1460550
202,1007203
203,923664
204,13167752
205,1271400
206,999799
207,6469764
208,3032923
209,3328598
210,1459482
211,2975732
212,1635233
213,2820301
214,2222809
215,1612021
216,2798778
217,2648011
218,1421281
219,2209225
220,1527048
221,2944637
222,1703685
